USB3_CONFIG_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
USB3_CONFIG_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
UFS_DID_0,string,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335
TYPE_C_PORT_4,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_3,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_MAX_3_IND,string,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE
TURBO_MAX_3_FREQ,string,4.6,4.4,4.5,5,4.4,4.4,4.6,4.4,4.8,4.4,4.4,4.5,5,4.4,4.4
TURBO_FREQ_UNLOCKE_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
TURBO_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_9_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_9_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_8_SMALL_CORE_FREQ_RATE,string,3.5,3.3,3,3.5,0,0,3.5,2.8,3.5,3.3,3.3,3.7,3.7,2.8,3.3
TURBO_8_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_7_SMALL_CORE_FREQ_RATE,string,3.5,3.3,3,3.5,0,0,3.5,2.8,3.5,3.3,3.3,3.7,3.7,2.8,3.3
TURBO_7_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_6_SMALL_CORE_FREQ_RATE,string,3.5,3.3,3,3.5,0,0,3.5,2.8,3.5,3.3,3.3,3.7,3.7,2.8,3.3
TURBO_6_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_5_SMALL_CORE_FREQ_RATE,string,3.5,3.3,3,3.5,0,0,3.5,2.8,3.5,3.3,3.3,3.7,3.7,2.8,3.3
TURBO_5_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
