MM-ITEM-MARKET-NAME,string,807773B9B5785,80777061B1,80777061B1,80777061B1,80777061B1,807773B9B5803,80777061B1,80777061B1,80777061B1,80777061B1,807773B9B5786,80777061B1,80777061B1,807773B9B5787,80777061B1
MM-INCORP,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MM-CUSTOM-IND,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MM-CUST-CUSTOMER,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM-CPU-SLOT-TYPE,string,BGA2540,BGA2481,BGA2481,BGA2481,BGA2481,BGA2540,BGA2481,BGA2481,BGA2481,BGA2481,BGA2540,BGA2481,BGA2481,BGA2540,BGA2481
MM-CODE-NAME,string,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H,NOVA LAKE-BASE-H
MM-CACHE-UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MM-CACHE,string,18,18,18,18,12,12,18,18,18,18,18,18,18,18,18
MM-BRANDED,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MLC_SIZE_PER_CORE_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CORE,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MLC_SIZE_PER_CLUSTER_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CLUSTER,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MIPI_DSI_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
MINIMUM_IA_SMALL_CORE_FREQ,string,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
MINIMUM_IA_FREQUENCY_RATE,string,1,1,1,1,0.8,0.8,1,1,1,1,1,1,1,1,1
MIN_THERMAL_DESIGN_POWER_RATE,string,15,15,15,15,12,12,15,15,15,15,15,15,15,15,15
MIN_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEMORY_TYPE_SUPPORTED,string,"DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5"
MEMORY_MODULES_PER_CHANNEL,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MEMORY_MAX_QCLK_MHZ,string,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
MEMORY_CHANNELS,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MEMORY_CAPACITY_UOM,string,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB
MEMORY_CAPACITY,string,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
MEM1_CAPACITY,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_FREQ_UOM,string,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ
MEM_BUS_SPD_UNLOCK_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
MEDIA_VEBOX,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEDIA_VDBOXES,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEDIA_SFC_INDICATOR,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEDIA_MAX_TURBO_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_MAX_TURBO_FREQ,string,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45
MEDIA_LFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_LFM_FREQ,string,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MEDIA_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_HFM_FREQ,string,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
MAXIMUM_IA_SMALL_CORE_FREQ,string,2.8,2.8,2.8,2.8,1.8,1.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
MAXIMUM_IA_FREQUENCY_RATE,string,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3
MAX_USB2_LANES,string,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MAX_USB_R_LANES,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MAX_TURBO_FREQ_UOM_CD,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TURBO_FREQ_RTE,string,4.6,4.4,4.5,5,4.4,4.4,4.6,4.4,4.8,4.4,4.4,4.5,5,4.4,4.4
MAX_TRGT_SCKT_CD,string,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S
MAX_THRD_PER_PCSR_CNT,string,16,16,16,16,8,8,16,12,16,16,16,16,16,12,16
MAX_THERMAL_TURBO_FREQUENCY,string,4.5,4.3,4.4,4.9,4.3,4.3,4.5,4.3,4.7,4.3,4.3,4.4,4.9,4.3,4.3
MAX_THERMAL_DESIGN_POWER_RATE,string,65,65,65,65,25,25,65,65,65,65,65,65,65,65,65
MAX_TEMP_TURBO_8CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_7CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_6CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_5CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_4CORE_FREQ_RATE,string,4.3,4.1,4.2,4.7,4.1,4.1,4.3,4.1,4.5,4.1,4.1,4.2,4.7,4.1,4.1
MAX_TEMP_TURBO_3CORE_FREQ_RATE,string,4.3,4.1,4.2,4.7,4.1,4.1,4.3,4.1,4.5,4.1,4.1,4.2,4.7,4.1,4.1
MAX_TEMP_TURBO_2CORE_FREQ_RATE,string,4.5,4.3,4.4,4.9,4.3,4.3,4.5,4.3,4.7,4.3,4.3,4.4,4.9,4.3,4.3
MAX_TEMP_MAX_TURBO_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_MAX_TURBO_FREQ_RATE,string,4.5,4.3,4.4,4.9,4.3,4.3,4.5,4.3,4.7,4.3,4.3,4.4,4.9,4.3,4.3
MAX_SOUNDWIRE_INTERFACES,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MAX_PEG_LANE_CNT,string,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
MAX_PCIE_SPEED_CONTROLLER_E,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,GEN_5,DISABLED
MAX_PCIE_SPEED_CONTROLLER_D,string,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5
MAX_PCIE_SPEED_CONTROLLER_C,string,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5
MAX_PCIE_SPEED_CONTROLLER_B,string,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4
MAX_PCIE_SPEED_CONTROLLER_A,string,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4,GEN_4
MAX_PCIE_SPEED,string,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5
MAX_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_HSIO_USB_LANES,string,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MAX_HSIO_UFS_PORTS,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAX_HSIO_SATA_LANES,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MAX_HSIO_PCIE_LANES,string,20,20,20,20,20,20,20,24,20,20,20,20,20,24,20
MAX_HSIO_GBE_LANES,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAX_DIGITAL_DISPLAY_INTERFACES,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MARKETING_VOLT_NAME,string,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV
MARKET_CODE_NAME,string,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE
makeBuyCode,string,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
LPM_ENABLED,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
LPE_TURBO_FREQUENCY_RATE,string,3,2.8,2.8,3.2,2.8,2.8,3,2.8,3,2.8,2.8,2.8,3.5,2.8,2.8
LOWEST_PACKAGE_CORE_STATE_CODE,string,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
LOWEST_CORE_SLEEP_STATE,string,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
LOW_POWER_DDR5_FREQ_RATE,string,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
LINE_ITEM_NAME,string,NVL-H.25W.4+8.4XE.ES1 (TOP),ES1 QDF,VST_ES1 QDF,VST_ES1 QDF,ES1 QDF,NVL-H (U).15W.4+0.4XE.ES1 (SAFE),ES1 QDF,ES1 QDF,VST_ES1 QDF,QS-like QDF,NVL-H.25W.4+8.4XE.ES1 (SAFE),VST_ES1 QDF,VST_ES1 QDF,NVL-HX.25W.4+4.2XE.ES1 (SAFE),REVENUE-like QDF
legacyNameIndicator,string,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
legacyItemCode,string,99DKFX,99CM7Z,99CM7Z,99CM7Z,99CM7Z,99DKH1,99CM7Z,99CM7Z,99CM7Z,99CM7Z,99DKFV,99CM7Z,99CM7Z,99DKFW,99CM7Z
KEY_LOCKER_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
itemStatus,string,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
itemClass,string,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor
ISH_SX_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ISH_DID,string,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354
IOE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
IO_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
INTGR_HEAT_SPREADER_IND,string,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
INTERNAL_REV_STEP,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
INTEL_TURBO_BOOST_TECH_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INTEL_TRST_EXEC_TECH_IND,string,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT
INTEL_SOFTWARE_GUARD_EXTN_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
INTEL_HYPER_THRD_TECH_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
INTEGRATED_SENSOR_HUB,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INTEGRATED_GRAPHICS_TURBO_FREQ,string,2.3,1.8,2.5,2,1.8,1.8,2.3,1.8,2,1.8,1.8,1.8,2.3,1.8,1.8
INTEGRATED_GRAPHICS_FREQUENCY,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
INTEGRATED_GRAPHICS_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
INTEGRATED_CONNECTIVITY,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INT_GFX_VIRTUAL_FUNCTION_SUPPO,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INSTR_EXTN_CD,string,"SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3"
INBAND_ERR_CRCT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ibdsIntegrationStatus,string,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete
IA_SVID_VR_OFFSET_VID,string,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32
HUB2PCD_D2D_FREQ,string,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
HUB2GPU_D2D_FREQ,string,4.4,4.4,4.4,4.4,4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.8,4.4,4.4
HUB2CPU_D2D_FREQ,string,4.4,4.4,4.4,4.4,4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.8,4.4,4.4
HUB_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
HUB_DIE_TJMAX_DO_NOT_EXCEED,string,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
HUB_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
HUB_DIE_CONFIG,string,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB
HSIO_USB_VERSION,string,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G
HSIO_SATA_VERSION,string,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3,GEN3
HSIO_LANE_26,string,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,PCIE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,PCIE,NOT_AVAILABLE
HSIO_LANE_25,string,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,PCIE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,PCIE,NOT_AVAILABLE
HSIO_LANE_24,string,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,PCIE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,PCIE,NOT_AVAILABLE
HSIO_LANE_23,string,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,PCIE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,PCIE,NOT_AVAILABLE
HSIO_LANE_22,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_21,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_20,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_19,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_18,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_17,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_16,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_15,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_14,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_13,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_12,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_11,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_10,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_09,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_08,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_07,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_06,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_05,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_04,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_03,string,"GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE"
HSIO_LANE_02,string,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G
HSIO_LANE_01,string,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G
HIGH_BNDWDT_DGTL_CONTENT_PRTCT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
HDCP_KEYTYPEID,string,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317
HAMMOCK_HARBOR_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
GSCODCA_KEYTYPEID,string,4634,4634,4634,4634,4634,4634,4634,4634,4634,4636,4634,4634,4634,4634,4635
grossWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GRAPHICS_TECH_FREQ_UNLOCK_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
GRAPHICS_LFM_FREQUENCY,string,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GRAPHICS_DIE_STEPPING,string,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
GRAPHICS_DIE_CONFIG,string,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64,PIXE3_H_64
GRAPHICS_DEVICE_ID,string,D742,D742,D742,D742,D741,D741,D742,D742,D742,D742,D742,D742,D742,D742,D742
GPU_L3_BANK_COUNT,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIGABIT_ETHERNET_DID,string,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9
GCD_DIE_TJMAX_THROTTLE_NUMBER,string,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
GCD_DIE_TJMAX_DO_NOT_EXCEED,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GBE_CONTROLLER_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
GAUSSIAN_MIXTURE_MODEL,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
FUSA,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
FUNCTIONAL_SMALL_CORE,string,8,8,8,8,0,0,8,4,8,8,8,8,8,4,8
FUNCTIONAL_MEMORY_CHANNELS,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
FUNCTIONAL_EXECUTION_UNIT_QTY,string,64,64,64,64,64,64,64,32,64,64,64,64,64,32,64
FUNCTIONAL_CORE,string,16,16,16,16,8,8,16,12,16,16,16,16,16,12,16
FUNCTIONAL_BIG_CORE,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FORM_FACTOR_DIMENSION,string,50X25,50X25,50X25,50X25,50X25,50X25,50X25,50X25,50X25,50X25,50X25,50X25,50X25,50X25,50X25
