Service,VarType,VarName,InitValue,Scope
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS2S2,222,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS2S3,222,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS2S4,222,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S0,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S1,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S2,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S3,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S4,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S5,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS4S3,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS4S4,220,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS4S5,221,unit
GSDS,double,dSOCN_SDTCLASS_DTSTEMP_raw0_DTS1S0,102,unit
GSDS,double,dSOCN_SDTCLASS_DTSTEMP_raw1_DTS1S0,102,unit
GSDS,double,dSOCN_SDTCLASS_DTSTEMP_raw2_DTS1S0,102,unit
GSDS,double,dSOCN_SDTCLASS_DTSTEMP_raw3_DTS1S0,102,unit
GSDS,double,dSOCN_SDTCLASS_DTSTEMP_raw4_DTS1S0,102,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_CFG1_avg_CFG1S0,0,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_raw0_DTS1S0,1773,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_raw0_DTS1S1,1777,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_raw1_DTS1S0,1774,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_raw2_DTS1S0,1775,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_raw3_DTS1S0,1774,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_raw4_DTS1S0,1775,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_raw5_DTS1S0,1776,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_raw6_DTS1S0,1777,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_raw7_DTS1S0,1775,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS1S0,1775,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS1S1,1780,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS1S2,1778,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS1S3,1776,unit
GSDS,Int,iSOCS_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS1S4,1781,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_avg_DTS1S0,101,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_avg_DTS1S1,101.6,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_avg_DTS1S2,101.4,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_avg_DTS1S3,101.2,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_avg_DTS1S4,102,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_raw0_DTS1S0,101,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_raw1_DTS1S0,101,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_raw2_DTS1S0,101,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_raw3_DTS1S0,101,unit
GSDS,double,dSOCS_SDTCLASS_PPART_DTSTEMP_raw4_DTS1S0,101,unit
GSDS,Int,SOC_DAC_0_0_trim_result_V0,198,unit
GSDS,Int,SOC_DAC_0_1_trim_result_V0,198,unit
GSDS,Int,SOC_DAC_0_2_trim_result_V0,197,unit
GSDS,Int,SOC_EVENT0_0_0_event0_result_V0,0,unit
GSDS,Int,SOC_EVENT0_0_1_event0_result_V0,0,unit
GSDS,Int,SOC_EVENT0_0_2_event0_result_V0,0,unit
GSDS,Int,SOC_EVENT0_0_3_event0_result_V0,1,unit
GSDS,Int,SOC_EVENT0_0_4_event0_result_V0,1,unit
GSDS,Int,SOC_EVENT0_0_5_event0_result_V0,1,unit
GSDS,Int,SOC_DAC_SLOPE_FUSE,788,unit
GSDS,Int,CPDSL_S_SOCS0_FUSE,785,unit
GSDS,Int,ESE_HTRCFCNF0_VNOMINV_NOM,298,unit
GSDS,Int,SOC_DAC_VMIN_SLOPE_FUSE,788,unit
GSDS,String,FDCOLLISION1,0,unit
GSDS,String,FDCOLLISION2,0,unit
GSDS,String,FDCOLLISION3,0,unit
GSDS,String,FDCOLLISION4,0,unit
GSDS,String,EDCOLLISION1,0,unit
GSDS,String,EDCOLLISION2,0,unit
GSDS,String,EDCOLLISION3,0,unit
GSDS,String,EDCOLLISION4,0,unit
GSDS,Int,XORHEALTHCOUNT < 200,256,unit
GSDS,Int,XORHEALTHCOUNT > 256,256,unit
GSDS,Int,NOXORHEALTHCOUNT < 64,256,unit
GSDS,Int,NOXORHEALTHCOUNT > 256,256,unit
GSDS,String,collision_drbg_OUTPUT_DATA_0 ,1.01E+59,unit
GSDS,String,collision_nrbg_OUTPUT_DATA_0,1.01E+63,unit
GSDS,String,collision_drbg_OUTPUT_DATA_1,1.00E+61,unit
GSDS,String,collision_nrbg_OUTPUT_DATA_1,1.11E+61,unit
GSDS,Int,iIOEP_SDTCLASS_TDO_DTS_DTSCODE_raw0_DTS1S0,0,unit
GSDS,Int,iIOEP_SDTCLASS_TDO_DTS_DTSCODE_raw1_DTS1S0,0,unit
GSDS,Int,iIOEP_SDTCLASS_TDO_DTS_DTSCODE_raw2_DTS1S0,0,unit
GSDS,Int,iIOEP_SDTCLASS_TDO_DTS_DTSCODE_raw3_DTS1S0,0,unit
GSDS,Int,iIOEP_SDTCLASS_TDO_DTS_DTSCODE_raw4_DTS1S0,0,unit
GSDS,Int,iIOEP_SDTCLASS_TDO_DTS_DTSCODE_raw5_DTS1S0,0,unit
GSDS,Int,iIOEP_SDTCLASS_TDO_DTS_DTSCODE_raw6_DTS1S0,0,unit
GSDS,Int,iIOEP_SDTCLASS_TDO_DTS_DTSCODE_raw7_DTS1S0,0,unit
GSDS,Int,iIOEP_SDTCLASS_D0_TDO_DTS_DTSCODE_avg_DTS1S0,0,unit
GSDS,Int,iIOEP_SDTCLASS_D1_TDO_DTS_DTSCODE_avg_DTS1S1,0,unit
GSDS,Int,iIOEP_SDTCLASS_D2_TDO_DTS_DTSCODE_avg_DTS1S2,0,unit
GSDS,Int,iIOEP_SDTCLASS_D3_TDO_DTS_DTSCODE_avg_DTS1S3,0,unit
GSDS,Int,iIOEP_SDTCLASS_D4_TDO_DTS_DTSCODE_avg_DTS1S4,0,unit
GSDS,Int,iIOEP_SDTCLASS_D5_TDO_DTS_DTSCODE_avg_DTS1S5,0,unit
GSDS,Int,iIOEP_SDTCLASS_D6_TDO_DTS_DTSCODE_avg_DTS1S6,0,unit
GSDS,double,dIOEP_SDTCLASS_PPART_DTSTEMP_raw0_DTS1S0,0,unit
GSDS,double,dIOEP_SDTCLASS_PPART_DTSTEMP_raw1_DTS1S0,0,unit
GSDS,double,dIOEP_SDTCLASS_PPART_DTSTEMP_raw2_DTS1S0,0,unit
GSDS,double,dIOEP_SDTCLASS_PPART_DTSTEMP_raw3_DTS1S0,0,unit
GSDS,double,dIOEP_SDTCLASS_PPART_DTSTEMP_raw4_DTS1S0,0,unit
GSDS,Int,BGDEFTEMPCO_BGTRIMCODE_0,177,unit
GSDS,Int,BGDEFTEMPCO_BGTRIMCODE_1,178,unit
GSDS,Int,BGDEFTEMPCO_BGTRIMCODE_2,177,unit
GSDS,Int,BGDEFTEMPCO_BGTRIMCODE_3,177,unit
GSDS,Int,BGDEFTEMPCO_BGTRIMCODE_4,176,unit
GSDS,Int,BGLOHI_BGTRIMCODE_0,50,unit
GSDS,Int,BGLOHI_BGTRIMCODE_1,51,unit
GSDS,Int,BGLOHI_BGTRIMCODE_2,50,unit
GSDS,Int,BGLOHI_BGTRIMCODE_3,50,unit
GSDS,Int,BGLOHI_BGTRIMCODE_4,50,unit
GSDS,Int,LO_BGTEMPCO_BGTRIM_AVG,50,unit
GSDS,Int,BGPOSTCALC_BGTRIMCODE_0,84,unit
GSDS,Int,BGPOSTCALC_BGTRIMCODE_1,83,unit
GSDS,Int,BGPOSTCALC_BGTRIMCODE_2,83,unit
GSDS,Int,BGPOSTCALC_BGTRIMCODE_3,83,unit
GSDS,Int,BGPOSTCALC_BGTRIMCODE_4,83,unit
GSDS,Int,CEP_CMP_0_0_trim_result_0,27,unit
GSDS,Int,CEP_CMP_0_1_trim_result_0,27,unit
GSDS,Int,CEP_CMP_0_2_trim_result_0,27,unit
GSDS,Int,CEP_CMP_0_3_trim_result_0,27,unit
GSDS,Int,CDIE_DAC_0_0_trim_result_V0,4,unit
GSDS,Int,CDIE_DAC_0_1_trim_result_V0,3,unit
GSDS,Int,CDIE_DAC_0_2_trim_result_V0,2,unit
GSDS,Int,CDIE_EVENT0_0_0_event0_result_V0,0,unit
GSDS,Int,CDIE_EVENT0_0_1_event0_result_V0,0,unit
GSDS,Int,CDIE_EVENT0_0_2_event0_result_V0,1,unit
GSDS,Int,CDIE_EVENT0_0_3_event0_result_V0,1,unit
GSDS,Int,BGRTR_S0,44,unit
GSDS,Int,BGP_BGPOSTCALC_BGTRIM_AVG,83,unit
GSDS,Int,iCPU68_SDS_TDO_DTS_BGTRIM_AON,13,unit
GSDS,double,dCPU68_SDTCLASS_temp0,0,unit
GSDS,double,dCPU68_SDS_temp0,-9.2,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_AON,0,unit
GSDS,Int,iCPU68_SDS_TDO_DTS_DTSCODE_avg_AON,892,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC0S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC0S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC0S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC1S3,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC1S4,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC1S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC1S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC1S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC2S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC2S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC2S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC2S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC2S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC3S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC3S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC3S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC3S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_SOC3S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S2,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S3,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S4,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S5,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S9,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S10,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S11,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S12,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A0S13,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S2,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S3,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S4,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S5,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S9,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S10,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S11,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S12,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_A1S13,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S2,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S3,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S4,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S5,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S9,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S10,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C0S11,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S2,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S3,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S4,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S5,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S9,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S10,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C1S11,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S2,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S3,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S4,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S5,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S9,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S10,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C2S11,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S2,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S3,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S4,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S5,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S9,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S10,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C3S11,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S2,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S3,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S4,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S5,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S6,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S7,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S8,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S9,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S10,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C4S11,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C5S0,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C5S1,0,unit
GSDS,Int,iCPU68_SDTCLASS_TDO_DTS_DTSCODE_avg_C5S2,0,unit
