TYPE_C_PORT_4,string,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY
TYPE_C_PORT_3,string,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY
TYPE_C_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_MAX_3_IND,string,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE
TURBO_MAX_3_FREQ,string,3.6,3.8,3.8,3.8,3.6,3.8,3.6,4.1
TURBO_FREQ_UNLOCKE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_9_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_9_CORE_FREQUENCY_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TURBO_8_SMALL_CORE_FREQ_RATE,string,2.7,2.9,3.1,2.9,2.7,2.9,2.7,3.1
TURBO_8_CORE_FREQ_RTE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TURBO_7_SMALL_CORE_FREQ_RATE,string,2.7,2.9,3.1,2.9,2.7,2.9,2.7,3.1
TURBO_7_CORE_FREQ_RTE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TURBO_6_SMALL_CORE_FREQ_RATE,string,2.7,2.9,3.1,2.9,2.7,2.9,2.7,3.1
TURBO_6_CORE_FREQ_RTE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TURBO_5_SMALL_CORE_FREQ_RATE,string,2.7,2.9,3.1,2.9,2.7,2.9,2.7,3.1
TURBO_5_CORE_FREQ_RTE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TURBO_4_SMALL_CORE_FREQ_RATE,string,2.8,3,3.2,3,2.8,3,2.8,3.2
TURBO_4_CORE_FREQ_RTE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TURBO_32_SMALL_CORE_FREQ_RATE,string,0,0,3,0,0,0,0,3
TURBO_31_SMALL_CORE_FREQ_RATE,string,0,0,3,0,0,0,0,3
TURBO_30_SMALL_CORE_FREQ_RATE,string,0,0,3,0,0,0,0,3
TURBO_3_SMALL_CORE_FREQ_RATE,string,2.8,3,3.2,3,2.8,3,2.8,3.2
TURBO_3_CORE_FREQ_RTE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TURBO_29_SMALL_CORE_FREQ_RATE,string,0,0,3,0,0,0,0,3
