TLA,TP_naming,PUPONOFF,Hermes,Solution_root_folder,GCD_conf,GCD_stepping,GCD_solution_rev,GCD_non_PORchk_removal,GCD_non_PORchkPlist_removal_regex,HUB_conf,HUB_stepping,HUB_solution_rev,CPU_conf,CPU_stepping,CPU_solution_rev,CPU_non_PORchk_removal,CPU_non_PORchkPlist_removal_regex
NVL,A0H01,OFF,FALSE,current,32EU,A0,WW4425,NO,.*f(2|4)xgt.*long__1,DT,A0,ww5225_test,C816,A0,WW5225_test,NO,.*f(2|4)x(at|cr|ccf).*long__1
NVL,B0H02,OFF,FALSE,current,32EU,A0,WW0826,NO,.*f(2|4)xgt.*long__1,DT,A0,WW0826,C816,P0,WW0826,NO,.*f(2|4)x(at|cr|ccf).*long__1
NVL,B0H12,OFF,FALSE,current,32EU,A0,WW0826,NO,.*f(2|4)xgt.*long__1,MB,A0,WW0826_test,C816,P0,WW0826,NO,.*f(2|4)x(at|cr|ccf).*long__1
NVL,B0H36,OFF,FALSE,current,32EU,A0,WW0826,NO,.*f(2|4)xgt.*long__1,MB,A0,WW0826_test,C48,T0,WW0826,NO,.*f(2|4)x(at|cr|ccf).*long__1
DNL,B0H49,OFF,FALSE,current,32EU,A0,WW0826,NO,.*f(2|4)xgt.*long__1,DT,A0,WW0826,C816,P0,WW0826,NO,.*f(2|4)x(at|cr|ccf).*long__1
NVL,A0H15,OFF,FALSE,current,32EU,A0,WW0826,NO,.*f(2|4)xgt.*long__1,DT,A0,WW0826,C48,T0,NA,NO,.*f(2|4)x(at|cr|ccf).*long__1
