MAX_TEMP_TURBO_6CORE_FREQ_RATE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
MAX_TEMP_TURBO_5CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_5CORE_FREQ_RATE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
MAX_TEMP_TURBO_4CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_4CORE_FREQ_RATE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
MAX_TEMP_TURBO_3CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_3CORE_FREQ_RATE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
MAX_TEMP_TURBO_2CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_2CORE_FREQ_RATE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
MAX_TEMP_TURBO_16CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_16CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_15CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_15CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_14CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_14CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_13CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_13CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_12CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_12CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_11CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_11CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_10CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_10CORE_FREQ_RAT,string,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_MAX_TURBO_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_MAX_TURBO_FREQ_RATE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
MAX_PEG_LANE_CNT,string,16,16,16,16,16,16,16,16,16,16
MAX_PCIE_SPEED,string,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5,GEN5
MAX_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_HSIO_USB_LANES,string,0,0,0,0,0,0,0,0,0,0
MAX_HSIO_UFS_PORTS,string,0,0,0,0,0,0,0,0,0,0
MAX_HSIO_PCIE_LANES,string,24,24,24,24,24,24,24,24,24,24
MAX_HSIO_GBE_LANES,string,0,0,0,0,0,0,0,0,0,0
MAX_DIGITAL_DISPLAY_INTERFACES,string,4,4,4,4,4,4,4,4,4,4
MARKETING_VOLT_NAME,string,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD
MARKET_CODE_NAME,string,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE,NOVA LAKE
makeBuyCode,string,M,M,M,M,M,M,M,M,M,M
LPM_ENABLED,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
LPE_TURBO_FREQUENCY_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
LPE_TURBO_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
LOWEST_PACKAGE_CORE_STATE_CODE,string,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
LOWEST_CORE_SLEEP_STATE,string,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
LOW_POWER_DDR5_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
LINE_ITEM_NAME,string,NVL.S.8+0.95W.Dunlow,NVL.S.0+16.55W.Dunlow,NVL.S.8+0.95W.Dunlow,NVL.S.0+16.55W.Dunlow,EarlySample.NVL.S.8+0.95W.Dunlow,NVL.S.8+0.65W.Dunlow,NVL.S.8+0.95W.Dunlow,EarlySample.NVL.S.0+16.55W.Dunlow,NVL.S.8+0.95W.Dunlow (L2LM)_STATIC,NVL.S.6+0.65W.Dunlow
legacyNameIndicator,string,No,No,No,No,No,No,No,No,No,No
legacyItemCode,string,99DAF8,99DAF6,99DAF8,99DAF6,99DKH0,99DAF9,99DAF8,99DKGZ,99DAF8,99DAF7
KEY_LOCKER_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
itemStatus,string,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
itemClass,string,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor
INTGR_HEAT_SPREADER_IND,string,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
INTERNAL_REV_STEP,string,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
INTEL_TURBO_BOOST_TECH_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INTEL_TRST_EXEC_TECH_IND,string,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT
INTEL_SOFTWARE_GUARD_EXTN_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
INTEL_HYPER_THRD_TECH_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
INTEGRATED_GRAPHICS_TURBO_FREQ,string,2.4,0,2.4,0,2.4,0,2.4,0,2.4,0
INTEGRATED_GRAPHICS_FREQUENCY,string,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0
INTEGRATED_GRAPHICS_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
INT_GFX_VIRTUAL_FUNCTION_SUPPO,string,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED
INSTR_EXTN_CD,string,"SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3"
INBAND_ERR_CRCT_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
ibdsIntegrationStatus,string,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete
IA_SVID_VR_OFFSET_VID,string,0x2C,0x2C,0x2C,0x2C,0x2C,0x2C,0x2C,0x2C,0x2C,0x2C
HUB2PCD_D2D_FREQ,string,2,2,2,2,2,2,2,2,2,2
HUB2GPU_D2D_FREQ,string,4.8,4.8,4.8,4.8,4.4,4.4,4.8,4.4,4.4,4.0
HUB2CPU_D2D_FREQ,string,4.8,4.8,4.8,4.8,4.4,4.4,4.8,4.4,4.4,4.0
HUB_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100,100
HUB_DIE_TJMAX_DO_NOT_EXCEED,string,108,108,108,108,108,108,108,108,108,108
HUB_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
HUB_DIE_CONFIG,string,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB
HSIO_LANE_24,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_23,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_22,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_21,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_20,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_19,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_18,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_17,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_16,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_15,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_14,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_13,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_12,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_11,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_10,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_09,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_08,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_07,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_06,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_05,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_04,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_03,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_02,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_01,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HIGH_BNDWDT_DGTL_CONTENT_PRTCT,string,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED,DISABLED,DISABLED
HDCP_KEYTYPEID,string,1317,1317,1317,1317,1317,1317,1317,1317,0,1317
GSCODCA_KEYTYPEID,string,4634,4634,4634,4634,4634,4634,4634,4634,0,4634
grossWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GRAPHICS_TECH_FREQ_UNLOCK_IND,string,ENABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED
GRAPHICS_LFM_FREQUENCY,string,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0
GRAPHICS_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
GRAPHICS_DIE_CONFIG,string,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32
GRAPHICS_DEVICE_ID,string,D740,D740,D740,D740,D740,D740,D740,D740,D740,D740
GPU_L3_BANK_COUNT,string,4,4,4,4,4,4,4,4,4,4
GCD_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100,100
GCD_DIE_TJMAX_DO_NOT_EXCEED,string,108,108,108,108,108,108,108,108,108,108
GAUSSIAN_MIXTURE_MODEL,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
FUSA,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
FUNCTIONAL_SMALL_CORE,string,0,16,0,16,0,0,0,16,0,0
FUNCTIONAL_MEMORY_CHANNELS,string,2,2,2,2,2,2,2,2,2,2
FUNCTIONAL_EXECUTION_UNIT_QTY,string,32,0,32,0,32,0,32,0,32,0
FUNCTIONAL_CORE,string,8,16,8,16,8,8,8,16,8,6
FUNCTIONAL_BIG_CORE,string,8,0,8,0,8,8,8,0,8,6
FORM_FACTOR_DIMENSION,string,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45
FORM_FACTOR_CODE,string,EAX,EAX,EAX,EAX,EAX,EAX,EAX,EAX,EAX,EAX
forecastPackage,string,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT
forecastName,string,807773B9B4845,807773B9B4848,807773B9B4845,807773B9B4848,807773B9B57FC,807773B9B4846,807773B9B4845,807773B9B57FD,807773B9B4845,807773B9B4847
FINISHED_GOOD_TYPE,string,VST,VST,VST,VST,VST,VST,VST,VST,Pre-Silicon,VST
fgTemplate,string,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales
fgApproval,string,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved
FB_S0I2_ENABLE_FUSE,string,0,0,0,0,0,0,0,0,0,0
ETEMP_UOM,string,C,C,C,C,C,C,C,C,C,C
ETEMP,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
ESPI_DIVIDE_X_8_DEBUG_FEATURE,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
ESEODCACRT_KeyTypeID,string,4640,4640,4640,4640,4640,4640,4640,4640,0,4640
ESEODCA_KEYTYPEID,string,4640,4640,4640,4640,4640,4640,4640,4640,0,4640
ERR_CRCT_CODE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
environmentCompRollupCode,string,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM
ENDEBUG_KEYTYPEID,string,0,0,0,0,0,0,0,0,0,0
EDP,string,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED
DYNAMIC_SKUING_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
DISPLAY_VIRTUALIZATION,string,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,DISABLED
DISPLAY_PIPE_IND,string,PIPE_A+B+C+D,DISABLED,PIPE_A+B+C+D,DISABLED,PIPE_A+B+C+D,DISABLED,PIPE_A+B+C+D,DISABLED,PIPE_A+B+C+D,DISABLED
DIE,string,8164,8164,8164,8164,8164,8164,8164,8164,8164,8164
DDR5_FREQ,string,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
D2D_KEYTYPEID,string,4580,4580,4580,4580,4580,4580,4580,4580,0,4580
CSMEODCA_KEYTYPEID,string,0,0,0,0,0,0,0,0,0,0
CPUID,string,300F11,300F11,300F11,300F11,300F11,300F11,300F11,300F11,300F11,300F11
CPU_TYPE_ENCODING,string,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU
CPU_SPEED_IN_LOW_FREQ_MODE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
CPU_SPEED_IN_LOW_FREQ_MODE,string,0.4,0,0.4,0,0.4,0.4,0.4,0.4,0.4,0.4
CPU_PCI_DEVICE_ID_DID0,string,D710,D711,D710,D711,D710,D710,D710,D711,D710,D710
CPU_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100,100
CPU_DIE_TJMAX_DO_NOT_EXCEED,string,108,108,108,108,108,108,108,108,108,108
CPU_BRAND_STRING,string,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000
COPPER_POINT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
COMPUTE_DIE2_STEPPING,string,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE
COMPUTE_DIE2_CONFIG,string,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE
COMPUTE_DIE_STEPPING,string,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
COMPUTE_DIE_CONFIG,string,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P
COMMENTS,string,8P-SETUP-95W.Dunlow,16E– SETUP – 55W.Dunlow.GT0 ,8P-SETUP-95W.Dunlow,16E– SETUP – 55W.Dunlow.GT0 ,8P-SETUP-95W.Dunlow,8P– SETUP – 65W.Dunlow.GT0 ,8P-SETUP-95W.Dunlow,16E– SETUP – 55W.Dunlow.GT0 ,8P-SETUP-95W.Dunlow,6P– SETUP – 65W.Dunlow.GT0 
clearImnIndicator,string,N,N,N,N,N,N,N,N,N,N
CACHE_QOS_ENFORCEMENT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
buildInLocation,string,"AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1"
BOOT_GUARD_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
BASE_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
BASE_DIE_CONFIG,string,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C
