VIRTL_TECH_CD,string,"VT-X, VT-D, HLAT","VT-X,VT-D","VT-X, VT-D, HLAT","VT-X,VT-D","VT-X, VT-D, HLAT","VT-X,VT-D","VT-X, VT-D, HLAT","VT-X,VT-D","VT-X, VT-D, HLAT","VT-X,VT-D"
VIRTL_MCHN_CTRL_STRC_SHDW_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
userItemType,string,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good
USBC_PORTS,string,2,2,2,2,2,2,2,2,2,2
UFS_DID_0,string,0,0,0,0,0,0,0,0,0,0
TYPE_C_PORT_4,string,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY
TYPE_C_PORT_3,string,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY
TYPE_C_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_MAX_3_IND,string,2_CORE,DISABLED,2_CORE,DISABLED,DISABLED,2_CORE,2_CORE,DISABLED,2_CORE,DISABLED
TURBO_MAX_3_FREQ,string,4.8,0,4.8,0,4.6,4.6,4.8,0,4.6,4.4
TURBO_FREQ_UNLOCKE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_9_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_9_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_8_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_8_CORE_FREQ_RTE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,0
TURBO_7_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_7_CORE_FREQ_RTE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,0
TURBO_6_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_6_CORE_FREQ_RTE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
TURBO_5_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_5_CORE_FREQ_RTE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
TURBO_4_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_4_CORE_FREQ_RTE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
TURBO_32_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_31_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_30_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_3_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_3_CORE_FREQ_RTE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
TURBO_29_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_28_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_27_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_26_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_25_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_24_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_23_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_22_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_21_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_20_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_2_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_2_CORE_FREQ_RTE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
TURBO_19_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_18_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_17_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_16_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_16_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_15_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_15_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_14_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_14_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_13_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_13_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_12_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_12_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_11_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_11_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
TURBO_10_SMALL_CORE_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
TURBO_10_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
