SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.StartVoltagesOffset.source,StartVoltagesOffsetF1,StartVoltagesOffsetF2,StartVoltagesOffsetF3,StartVoltagesOffsetF4,DIFF,StartVoltagesOffsetF<s0>
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.StartVoltagesOffset.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),OK,""""
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.VoltageConverter.dropout,DROPOUT.CLR_F1,DROPOUT.CLR_F2,DROPOUT.CLR_F3,DROPOUT.CLR_F4,DIFF,DROPOUT.CLR_F<s0>
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.EndVoltageLimits,ARR_CCF_Rules.QA_HOT_Default(...),FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,DIFF,F1: QA_HOT_Default; F2-F4: CCF_HIGH_SEARCH_VALUE
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,OK,FlowMatrix.FlowIndex
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT,F1_1200,F2_1500,F3_2200,F4_3000,DIFF,F<s0>_<s1>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.TestMethod,VminTC,VminTC,VminTC,VminTC,OK,VminTC
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.BypassPort,-1,-1,-1,-1,OK,-1
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.ExecutionMode,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,OK,SearchWithScoreboard
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.TestMode,SingleVmin,SingleVmin,SingleVmin,SingleVmin,OK,SingleVmin
