Pin,Field,Size,ItuffToken,LowLimit,HighLimit,ExitPort
IPC::CPU_TDO,CORERR1,15,G_FUSE_ECC_STATISTICS_CORERR1,-,-,-
IPC::CPU_TDO,RSVD,1,G_FUSE_ECC_STATISTICS_RSVD,-,-,-
IPC::CPU_TDO,CORERR2,15,G_FUSE_ECC_STATISTICS_CORERR2,-,0,3
IPC::CPU_TDO,CLEAR,1,G_FUSE_ECC_STATISTICS_CLEAR,-,-,-
IPC::CPU1_TDO,CORERR1,15,G_FUSE_ECC_STATISTICS_CORERR1,-,-,-
IPC::CPU1_TDO,RSVD,1,G_FUSE_ECC_STATISTICS_RSVD,-,-,-
IPC::CPU1_TDO,CORERR2,15,G_FUSE_ECC_STATISTICS_CORERR2,-,0,3
IPC::CPU1_TDO,CLEAR,1,G_FUSE_ECC_STATISTICS_CLEAR,-,-,-
