fgTemplate,string,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales
fgApproval,string,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved
FB_S0I2_ENABLE_FUSE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ETEMP_UOM,string,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ETEMP,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
ESEODCACRT_KeyTypeID,string,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628
ESEODCA_KEYTYPEID,string,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628
ERR_CRCT_CODE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
environmentCompRollupCode,string,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM
ENDEBUG_KEYTYPEID,string,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019
EDP,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DYNAMIC_SKUING_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
DNX_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DISPLAY_VIRTUALIZATION,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DISPLAY_PIPE_IND,string,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D
DIE,string,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe,484_12xe
DDR5_FREQ,string,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
D2D_KEYTYPEID,string,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580
CSMEODCACRT_KeyTypeID,string,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631
CSMEODCA_KEYTYPEID,string,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631
CPUID,string,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31
CPU_TYPE_ENCODING,string,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU
CPU_SPEED_IN_LOW_FREQ_MODE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
CPU_SPEED_IN_LOW_FREQ_MODE,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CPU_PCI_DEVICE_ID_DID0,string,D704,D704,D704,D704,D704,D704,D704,D704,D704,D704,D704,D704,D704,D704
CPU_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CPU_DIE_TJMAX_DO_NOT_EXCEED,string,110,110,110,110,110,110,110,110,110,110,110,110,110,110
CPU_BRAND_STRING,string,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000
COPPER_POINT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
COMPUTE_DIE_STEPPING,string,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0
COMPUTE_DIE_CONFIG,string,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P
COMMENTS,string,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,NVL.MB.P12XE.A0.PO,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe,Q4'25 PO NVL H 484/12xe
CNVI_USB2_BLUETOOTH_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
CNVI_DID,string,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340
clearImnIndicator,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CACHE_QOS_ENFORCEMENT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
buildInLocation,string,"AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1"
BOOT_GUARD_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
BASE_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
BASE_DIE_CONFIG,string,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P,BASE_P
BASE_CLOCK_MAX_MHZ_RATE,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUDIO_CONTEXT_ENGINE_DID,string,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328
ALL_CORE_TURBO_FREQ_SMALL_CORE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
ALL_CORE_TURBO_FREQ_SMALL_CORE,string,3.2,3,3.4,3.2,3.2,3.2,3.5,3.4,3.2,3.2,3.2,3.2,3.2,3.2
ALL_CORE_TURBO_FREQ_RATE,string,4.2,4,4.7,4.2,4.2,4.6,4.8,4.6,4.4,4,4.2,4.4,4.2,4.2
AES_INSTR_SET_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ADSP_ENHANCED_AUDIO,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ACE_SILICON_SKU_ID,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D_IMAGE_SIGNAL_PROCESSING_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
