Group,Entity,UV_01,UV_02,UV_03,DIFF,UV_01_line,UV_02_line,UV_03_line,Symbolized,UV_01_symbols,UV_02_symbols,UV_03_symbols,OV_07,OV_08,OV_09,OV_07_line,OV_08_line,OV_09_line,OV_07_symbols,OV_08_symbols,OV_09_symbols,UV_01_CPU1,UV_02_CPU1,UV_03_CPU1,UV_01_CPU1_line,UV_02_CPU1_line,UV_03_CPU1_line,UV_01_CPU1_symbols,UV_02_CPU1_symbols,UV_03_CPU1_symbols,OV_07_CPU1,OV_08_CPU1,OV_09_CPU1,OV_07_CPU1_line,OV_08_CPU1_line,OV_09_CPU1_line,OV_07_CPU1_symbols,OV_08_CPU1_symbols,OV_09_CPU1_symbols
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.FailingMaskName,"Short_VLD,Open_VLD",,,PARTIAL,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.FuseGroupToDatalog,,,,OK,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.PassingMaskName,Undervolt_VLD,,,PARTIAL,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.RegisterName,"__shared__::TpRule.If_CLASS_NVL_S52C(""CPU0_VLD,CPU1_VLD"",""CPU0_VLD"")",,,PARTIAL,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.VoltageFile,./InputFiles/VLD_UV.fuseReadVoltageFile.json,,,PARTIAL,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE01,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE01,,,PARTIAL,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE01.edc,KILL,,,PARTIAL,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE01.connectivity.R-2,Return -2,,,PARTIAL,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE01.connectivity.R-1,Return -1,,,PARTIAL,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE01.connectivity.R0,Return 0,,,PARTIAL,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
