Entity,FUS_FUSEVLD_CKX_OV_09,FUS_FUSEVLD_CKX_OV_08,FUS_FUSEVLD_CKX_OV_07,DIFF,FUS_FUSEVLD_CKX_OV_09_line,FUS_FUSEVLD_CKX_OV_08_line,FUS_FUSEVLD_CKX_OV_07_line,Symbolized,FUS_FUSEVLD_CKX_OV_09_symbols,FUS_FUSEVLD_CKX_OV_08_symbols,FUS_FUSEVLD_CKX_OV_07_symbols
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.BypassPort,,,-1,OK,,,245,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.ConfigName,,,"""VLDReadFlow""",OK,,,246,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.ConfigurationFile,,,"__shared__::TpRule.If_CLASS_NVL_S52C(""./InputFiles/VLD_C2X.fuseread.json"",""./InputFiles/VLD_C1X.fuseread.json"")",OK,,,247,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.FailingMaskName,,,"""Short_VLD,Open_VLD""",OK,,,248,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.FuseGroupToDatalog,,,"""""",OK,,,249,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.LevelsTc,,,"""BASE::cpu_all_bf_x_x_pkg_lvl_nom""",OK,,,243,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.PassingMaskName,,,"""Overvolt_VLD""",OK,,,250,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.Patlist,,,"""cpu_fuse_hvm_vld_vbump""",OK,,,242,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.RegisterName,,,"__shared__::TpRule.If_CLASS_NVL_S52C(""CPU0_VLD,CPU1_VLD"",""CPU0_VLD"")",OK,,,251,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.TimingsTc,,,"""BASE::pkg_cpu_fun_timing_mts100_tstprtclk50_tck100""",OK,,,244,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.param.VoltageFile,,,"""./InputFiles/VLD_OV.fuseReadVoltageFile.json""",OK,,,252,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.connectivity.R-2,,,Return -2,OK,,,1165,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.connectivity.R-1,,,Return -1,OK,,,1171,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.connectivity.R0,,,Return 0,OK,,,1178,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.connectivity.R1,,,GoTo FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_OVLD_SETSHAREDSTORAGE07,OK,,,1183,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.connectivity.R2,,,Return 0,OK,,,1190,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.connectivity.R3,,,Return 0,OK,,,1197,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07.connectivity.R4,,,Return 0,OK,,,1204,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08,,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08,,OK,,1054,,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08,,,
