SCENARIO_NAME,SAQG2_ENABLE,VCCSA_LL,ENABLES,TEMPERATURES,PWR_ICC_VREL_LIMITS,FREQUENCIES,AR,DYN_STATIC_RATIO,PCPS_NUM,OTHER_PWR,SCEN_MODE,ISOVOLT
CREATIVE_DT,G4,POR,SA_LMPD-1000,P1,ICCMAX,CREATIVE_DT,SA_0P5,SA_DE_1_PIPE,DISABLE,ZERO,OFF,OFF
VPU_BENCHMARKING_MBL_1,G4,POR,SA_LMPD-0001,P1,VRELMAX,VPU_BENCHMARKING_MBL_1,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF
VPU_BENCHMARKING_MBL_2,G4,POR,SA_LMPD-0001,P1,VRELMAX,VPU_BENCHMARKING_MBL_2,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF
VPU_BENCHMARKING_MBL,G2,POR,SA_LMPD-0001,P1,VRELMAX,VPU_BENCHMARKING_MBL,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF
VPU_BENCHMARKING_DT_1,G4,POR,SA_LMPD-1001,P1,ICCMAX,VPU_BENCHMARKING_DT_1,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
VPU_BENCHMARKING_DT_2,G2,POR,SA_LMPD-1001,P1,ICCMAX,VPU_BENCHMARKING_DT_2,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
MEDIA_MAX_DT,G2,POR,SA_LMPD-1100,P1,ICCMAX,MEDIA_MAX_DT,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
MEDIA_MAX_MBL,G4,POR,SA_LMPD-0100,P1,VRELMAX,MEDIA_MAX_MBL,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF
SURVIVABILITY_MBL,G4,POR,SA_LMPD-0111,P1,ICCMAX,SURVIVABILITY_MBL,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
SURVIVABILITY_DT,G4,POR,SA_LMPD-1111,P1,ICCMAX,SURVIVABILITY_DT,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
LP_ATOM_FMAX_DT_1,G2,POR,SA_LMPD-1000,P1,ICCMAX,LP_ATOM_FMAX_DT_1,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
LP_ATOM_FMAX_DT_2,G4,POR,SA_LMPD-1000,P1,ICCMAX,LP_ATOM_FMAX_DT_2,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
IPU_FMAX_MBL,G4,POR,SA_LMPD-0110,P1,VRELMAX,IPU_FMAX_MBL,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF
ABSOLUTE_MAX_VIRUS_MBL,G4,POR,SA_LMPD-0111,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_MBL,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
SAICCMAX_DT_NPU,G4,POR,SA_LMPD-1101,P1,ICCMAX,SAICCMAX_DT_NPU,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
ABSOLUTE_MAX_VIRUS_DT_2,G4,POR,SA_LMPD-1101,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_DT_2,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
ABSOLUTE_MAX_VIRUS_DT_3,G4,POR,SA_LMPD-1101,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_DT_3,SA_0P5,SA_DE_1_PIPE,DISABLE,ZERO,OFF,OFF
MIN_LATENCY_MBL_MAX,G2,ZERO,SA_LMPD-0000,P1,ICCMAX,MIN_LATENCY_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
MIN_LATENCY_DT_MAX,G2,ZERO,SA_LMPD-1000,P1,ICCMAX,MIN_LATENCY_DT,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
GAMING_DT_HX_1_MAX,G2,ZERO,SA_LMPD-1000,P1,ICCMAX,GAMING_DT_HX_1,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,OFF,OFF
GAMING_DT_PUSH_MAX,G2,ZERO,SA_LMPD-1000,P1,ICCMAX,GAMING_DT_PUSH,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,OFF,OFF
CREATIVE_MBL_MAX,G4,ZERO,SA_LMPD-0101,P1,ICCMAX,CREATIVE_MBL,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,EDC,OFF
CREATIVE_DT_MAX,G4,ZERO,SA_LMPD-1000,P1,ICCMAX,CREATIVE_DT,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,OFF,OFF
VPU_BENCHMARKING_MBL_1_MAX,G4,ZERO,SA_LMPD-0001,P1,ICCMAX,VPU_BENCHMARKING_MBL_1,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
VPU_BENCHMARKING_MBL_2_MAX,G4,ZERO,SA_LMPD-0001,P1,ICCMAX,VPU_BENCHMARKING_MBL_2,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
VPU_BENCHMARKING_MBL_MAX,G2,ZERO,SA_LMPD-0001,P1,ICCMAX,VPU_BENCHMARKING_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
VPU_BENCHMARKING_DT_1_MAX,G4,ZERO,SA_LMPD-1001,P1,ICCMAX,VPU_BENCHMARKING_DT_1,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
VPU_BENCHMARKING_DT_2_MAX,G2,ZERO,SA_LMPD-1001,P1,ICCMAX,VPU_BENCHMARKING_DT_2,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
MEDIA_MAX_DT_MAX,G2,ZERO,SA_LMPD-1100,P1,ICCMAX,MEDIA_MAX_DT,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
MEDIA_MAX_MBL_MAX,G4,ZERO,SA_LMPD-0100,P1,ICCMAX,MEDIA_MAX_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
SURVIVABILITY_MBL_MAX,G4,ZERO,SA_LMPD-0111,P1,ICCMAX,SURVIVABILITY_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
SURVIVABILITY_DT_MAX,G4,ZERO,SA_LMPD-1111,P1,ICCMAX,SURVIVABILITY_DT,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
LP_ATOM_FMAX_DT_1_MAX,G2,ZERO,SA_LMPD-1000,P1,ICCMAX,LP_ATOM_FMAX_DT_1,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
LP_ATOM_FMAX_DT_2_MAX,G4,ZERO,SA_LMPD-1000,P1,ICCMAX,LP_ATOM_FMAX_DT_2,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
IPU_FMAX_MBL_MAX,G4,ZERO,SA_LMPD-0110,P1,ICCMAX,IPU_FMAX_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
ABSOLUTE_MAX_VIRUS_MBL_MAX,G4,ZERO,SA_LMPD-0111,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF
SAICCMAX_DT_NPU_MAX,G4,ZERO,SA_LMPD-1101,P1,ICCMAX,SAICCMAX_DT_NPU,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
ABSOLUTE_MAX_VIRUS_DT_2_MAX,G4,ZERO,SA_LMPD-1101,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_DT_2,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,OFF,OFF
ABSOLUTE_MAX_VIRUS_DT_3_MAX,G4,ZERO,SA_LMPD-1101,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_DT_3,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,OFF,OFF
P1UP,G4,POR,P1,P1,TDPUP,P1UP,P1_AR,SA_DE_2_PIPES,DISABLE,P1,EDC,OFF
P1DN,G4,POR,P1,P1,TDPDN,P1DN,P1_AR,SA_DE_2_PIPES,DISABLE,P1,EDC,OFF
LPATOMb_ICCMAX,G4,POR,LPATOMb_FMAX,TEMP_100,ICCMAX,LPATOMb_FMAX,ALL_1,SA_DE_2_PIPES,DISABLE,ZERO,ON,OFF
LPATOMb_VRELMAX,G4,POR,LPATOMb_FMAX,TEMP_100,VRELMAX,LPATOMb_FMAX,SA_0P5,SA_DE_2_PIPES,DISABLE,ZERO,ON,OFF
