LevelsName,Pin,iForce,PreMeasDelay,VClampHi,VClampLo,SequenceBreak,LoLimit (HOT),HiLimit (HOT),LoLimit (COLD),HiLimit (COLD),HX28C_HVM_LoHot,HX28C_HVM_HiHot,HX28C_HVM_LoCold,HX28C_HVM_HiCold,P16C_HVM_LoHot,P16C_HVM_HiHot,P16C_HVM_LoCold,P16C_HVM_HiCold,H16C_HVM_LoHot,H16C_HVM_HiHot,H16C_HVM_LoCold,H16C_HVM_HiCold,U8C_HVM_LoHot,U8C_HVM_HiHot,U8C_HVM_LoCold,U8C_HVM_HiCold,HX28C_FC_LoHot,HX28C_FC_HiHot,HX28C_FC_LoCold,HX28C_FC_HiCold,P16C_FC_LoHot,P16C_FC_HiHot,P16C_FC_LoCold,P16C_FC_HiCold,H16C_FC_LoHot,H16C_FC_HiHot,H16C_FC_LoCold,H16C_FC_HiCold,U8C_FC_LoHot,U8C_FC_HiHot,U8C_FC_LoCold,U8C_FC_HiCold,Comment,Comment2,Comment3
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_02,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3775V,-0.2907V,-0.44775428289146V,-0.290628566988904V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_03,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3775V,-0.2907V,-0.44775428289146V,-0.290628566988904V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_04,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3944V,-0.3048V,-0.483032768076654V,-0.291006178083825V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_05,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4102V,-0.2934V,-0.497714437689659V,-0.271818138711779V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_06,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3944V,-0.3048V,-0.483032768076654V,-0.291006178083825V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_07,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.371V,-0.3024V,-0.434184272516813V,-0.305652500332347V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_08,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3775V,-0.2907V,-0.44775428289146V,-0.290628566988904V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_09,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3777V,-0.2951V,-0.470310956452214V,-0.272318211670938V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_10,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.381V,-0.2914V,-0.520263719376895V,-0.23695297630308V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_11,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3821V,-0.2897V,-0.518517017968465V,-0.238772527064221V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
